GHCN identifier,Station_name,Latitude,Longitude,Elevation,yearmonth,Precipitation_value,Measurement_flag,Quality_control_flag,Source_flag,Source_index
AEM00041217,               "ABU DHABI  INTL AIRPORT",  24.4333,   54.6500,    27.0,198201,     0, , ,W,120631
AEM00041217,               "ABU DHABI  INTL AIRPORT",  24.4333,   54.6500,    27.0,198202,  1101, , ,W,120631
AEM00041217,               "ABU DHABI  INTL AIRPORT",  24.4333,   54.6500,    27.0,198203,  1093, , ,W,120631
AEM00041217,               "ABU DHABI  INTL AIRPORT",  24.4333,   54.6500,    27.0,198204,     1, , ,W,120631
AEM00041217,               "ABU DHABI  INTL AIRPORT",  24.4333,   54.6500,    27.0,198205,     0, , ,W,120631
AEM00041217,               "ABU DHABI  INTL AIRPORT",  24.4333,   54.6500,    27.0,198206,     0, , ,W,120631
AEM00041217,               "ABU DHABI  INTL AIRPORT",  24.4333,   54.6500,    27.0,198207,     0, , ,W,120631
AEM00041217,               "ABU DHABI  INTL AIRPORT",  24.4333,   54.6500,    27.0,198208,     0, , ,W,120631
AEM00041217,               "ABU DHABI  INTL AIRPORT",  24.4333,   54.6500,    27.0,198209,     0, , ,W,120631
AEM00041217,               "ABU DHABI  INTL AIRPORT",  24.4333,   54.6500,    27.0,198210,     0, , ,W,120631
AEM00041217,               "ABU DHABI  INTL AIRPORT",  24.4333,   54.6500,    27.0,198211,   184, , ,W,120631
AEM00041217,               "ABU DHABI  INTL AIRPORT",  24.4333,   54.6500,    27.0,198212,   121, , ,W,120631
AEM00041217,               "ABU DHABI  INTL AIRPORT",  24.4333,   54.6500,    27.0,198301,   101, , ,W,120631
AEM00041217,               "ABU DHABI  INTL AIRPORT",  24.4333,   54.6500,    27.0,198302,   415, , ,W,120631
AEM00041217,               "ABU DHABI  INTL AIRPORT",  24.4333,   54.6500,    27.0,198303,   147, , ,W,120631
AEM00041217,               "ABU DHABI  INTL AIRPORT",  24.4333,   54.6500,    27.0,198304,   389, , ,W,120631
AEM00041217,               "ABU DHABI  INTL AIRPORT",  24.4333,   54.6500,    27.0,198305,     0, , ,W,120631
AEM00041217,               "ABU DHABI  INTL AIRPORT",  24.4333,   54.6500,    27.0,198306,     0, , ,W,120631
