GHCN identifier,Station_name,Latitude,Longitude,Elevation,yearmonth,Precipitation_value,Measurement_flag,Quality_control_flag,Source_flag,Source_index
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,195810,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,195811,     0,C, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,195812,   350,B, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,195901,     0,A, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,195902,     0,B, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,195903,     0,D, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,195904,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,195905,    10,A, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,195906,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,195907,     0,A, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,195908,     0,A, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,195909,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,195910,     0,A, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,195911,     0,B, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,195912,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196001,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196002,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196003,    30, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196004,     0,A, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196005,     0,A, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196007,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196008,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196009,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196010,     0,D, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196012,   470,B, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196101,   160,C, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196102,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196103,     0,D, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196104,     0,A, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196105,    20, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196106,     0, ,K,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196107,     0, ,K,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196108,     0, ,K,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196109,     0, ,K,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196110,     0,A,K,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196111,     0, ,K,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196112,     0, ,K,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196201,     0,A,K,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196202,     0, ,K,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196203,     0, ,K,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196204,     0,B,K,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196205,     0, ,K,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196206,     0, ,K,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196207,     0, ,K,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196208,     0, ,K,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196209,     0, ,K,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196210,     0,B,K,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196211,   170,C, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196212,   120, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196301,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196302,    10,B, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196303,    20,A, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196304,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196305,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196306,     0, , ,D,000012
