GHCN identifier,Station_name,Latitude,Longitude,Elevation,yearmonth,Precipitation_value,Measurement_flag,Quality_control_flag,Source_flag,Source_index
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186408,    60, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186409,   240, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186410,   310, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186411,   160, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186412,   100, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186501,   430, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186502,    10, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186503,   140, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186504,   150, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186505,   150, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186506,   220, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186507,     0, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186508,    70, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186509,   210, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186510,    50, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186511,   140, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186512,    30, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186601,  1010, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186602,   410, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186603,   190, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186604,    60, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186605,   120, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186606,     0, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186607,     0, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186608,     0, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186609,   470, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186610,   330, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186611,   130, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186612,     0, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186701,   170, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186702,   100, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186703,    30, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186704,     0, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186705,   110, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186706,   240, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186707,    10, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186708,   210, , ,R,106697
AGE00147719,                              "LAGHOUAT",  33.4800,    2.5300,   767.0,186709,    90, , ,R,106697
