GHCN identifier,Station_name,Latitude,Longitude,Elevation,yearmonth,Precipitation_value,Measurement_flag,Quality_control_flag,Source_flag,Source_index
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,185805,   270, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,185806,    60, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,185807,    50, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,185808,    90, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,185809,   200, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,185810,   680, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,185811,   410, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,185812,  2100, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,185901,  1200, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,185902,  1360, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,185903,  1240, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,185904,   180, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,185905,   930, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,185906,    50, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,185907,    20, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,185908,    70, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,185909,  1690, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,185910,   750, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,185911,  1210, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,185912,   450, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186001,   260, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186002,   660, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186003,   660, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186004,   530, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186005,   290, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186006,   130, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186007,   100, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186008,    60, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186009,   190, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186010,   290, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186011,     0, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186012,   680, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186101,   490, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186102,    50, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186103,   690, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186104,   670, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186105,  1070, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186106,   140, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186107,     0, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186108,     0, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186109,   400, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186110,   660, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186111,   240, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186112,   410, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186501,   950, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186502,  1260, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186503,   780, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186504,   520, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186505,    50, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186506,   740, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186507,    10, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186508,    40, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186509,   250, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186510,   680, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186511,   400, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186512,   370, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186601,   450, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186602,   630, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186603,   310, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186604,   460, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186605,   200, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186606,   300, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186607,     0, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186608,     0, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186609,   100, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186610,   510, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186611,   840, , ,R,109927
AGM00060403,                                "GUELMA",  36.2900,    7.2500,   280.0,186612,   130, , ,R,109927
