GHCN identifier,Station_name,Latitude,Longitude,Elevation,yearmonth,Precipitation_value,Measurement_flag,Quality_control_flag,Source_flag,Source_index
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186301,   570, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186302,   760, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186303,   980, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186304,   700, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186305,   330, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186306,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186307,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186308,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186309,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186310,   170, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186311,   190, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186312,   190, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186401,   380, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186402,   820, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186403,   440, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186404,   380, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186405,    90, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186406,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186407,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186408,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186409,   130, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186410,  1110, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186411,  1820, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186412,   980, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186501,   700, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186502,   220, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186503,   880, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186504,   920, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186505,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186506,   820, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186507,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186508,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186509,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186510,   430, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186511,   190, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186512,   640, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186601,   490, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186602,    40, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186603,   620, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186604,    50, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186605,    70, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186606,    80, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186607,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186608,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186609,   330, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186610,   470, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186611,   270, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186612,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186701,   530, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186702,   120, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186703,     0, ,T,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186704,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186705,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186706,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186707,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186708,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186709,   270, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186710,    90, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186711,    90, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186712,   180, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186801,   880, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186802,   390, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186803,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186804,    80, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186805,   950, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186806,  1010, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186807,   330, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186808,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186809,   710, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186810,   540, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186811,  1100, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186812,   240, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186901,    90, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186902,   780, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186903,  1290, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186904,   390, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186905,   260, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186906,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186907,    20, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186908,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186909,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186910,   220, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186911,   890, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,186912,  1000, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,187001,   930, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,187002,   710, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,187003,   540, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,187004,   320, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,187005,  1340, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,187006,   180, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,187007,     0, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,187008,   480, , ,R,109989
AGMLP060492,                              "RELIZANE",  35.4300,    0.3500,    70.0,187009,    70, , ,R,109989
