GHCN identifier,Station_name,Latitude,Longitude,Elevation,yearmonth,Precipitation_value,Measurement_flag,Quality_control_flag,Source_flag,Source_index
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189101,   187, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189102,   227, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189103,   473, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189104,   927, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189105,   515, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189106,   310, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189107,   962, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189108,   263, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189109,  2319, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189110,   378, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189111,   381, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189112,    21, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189201,   655, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189202,   183, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189203,   849, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189204,   674, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189205,  1030, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189206,   193, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189207,   435, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189208,   220, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189209,  1615, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189903,   450, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189904,   801, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189905,  2423, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189906,   749, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189907,    64, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189908,  2015, , ,R,099039
AJ000037575,                              "ZAKATALY",  41.6300,   46.6500,   487.0,189910,  1285, , ,R,099039
