GHCN identifier,Station_name,Latitude,Longitude,Elevation,yearmonth,Precipitation_value,Measurement_flag,Quality_control_flag,Source_flag,Source_index
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189102,   170, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189103,   200, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189104,   310, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189105,   570, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189401,   280, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189402,    90, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189403,    90, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189404,    60, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189405,   120, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189406,   120, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189407,   310, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189408,    90, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189409,    30, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189410,   290, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189411,   410, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189412,    50, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189501,    10, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189502,   120, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189503,   120, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189504,   370, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189505,   590, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189506,   610, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189507,   760, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189508,   170, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189509,   150, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189510,   340, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189511,   540, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189512,   150, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189601,   270, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189602,   190, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189603,   190, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189604,   480, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189605,   500, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189606,   370, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189607,    10, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189608,    10, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189609,   210, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189610,   390, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189611,    60, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189612,   140, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189701,   150, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189702,   130, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189703,   230, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189704,   260, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189705,   300, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189706,   530, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189707,    30, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189708,    30, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189709,    60, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189710,   170, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189711,   400, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189712,   160, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189801,    50, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189802,    50, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189803,   110, , ,R,110264
AM000037815,                                "MASRIK",  40.2300,   45.7500,  1940.0,189804,   260, , ,R,110264
