GHCN identifier,Station_name,Latitude,Longitude,Elevation,yearmonth,Precipitation_value,Measurement_flag,Quality_control_flag,Source_flag,Source_index
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200101,    32, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200102,   341, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200103,   760, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200104,   866, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200105,  1141, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200106,   645, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200107,   478, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200108,   374, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200109,    34, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200110,   305, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200111,   185, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200112,   907, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200201,   207, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200202,   207, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200203,   514, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200204,  1388, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200205,   836, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200206,  1305, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200207,   897, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200208,  1013, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200209,   110, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200210,   517, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200211,   239, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200212,   417, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200301,   253, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200302,   346, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200303,   544, , ,W,120259
AMMLP037682,                                "AMASIA",  40.9500,   43.7833,  1876.0,200304,  1047, , ,W,120259
