GHCN identifier,Station_name,Latitude,Longitude,Elevation,yearmonth,Precipitation_value,Measurement_flag,Quality_control_flag,Source_flag,Source_index
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,201908,  1510, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,201909,   876, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,201910,  2507, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,201911,  1818, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,201912,  5410, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202001,  4915, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202002,  7778, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202003,  1201, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202004,  3663, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202005,  1829, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202006,  4206, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202007,  2828, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202008,  2152, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202009,  3415, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202010,  4817, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202011,  4591, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202012,  4577, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202101,  3702, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202102,  5217, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202103,  1918, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202104,  1478, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202105,  1119, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202106,  2867, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202107,  1396, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202108,  1898, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202109,  1600, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202110,  1361, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202111,  2694, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202112,  1824, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202201,  2300, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202202,  4568, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202203,   959, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202204,   998, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202205,  2525, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202206,  1783, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202207,  1785, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202208,  1884, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202209,  1007, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202210,  2538, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202211,  1633, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202301,  3300, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202302,  3381, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202303,  3277, , ,D,000224
AQC00914141,                           "AS FAGAITUA", -14.2667, -170.6167,     4.6,202304,  4437, , ,D,000224
