GHCN identifier,Station_name,Latitude,Longitude,Elevation,yearmonth,Precipitation_value,Measurement_flag,Quality_control_flag,Source_flag,Source_index
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195604,  1554,C, ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195605,   252,A, ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195606,  3627,A, ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195607,   559,B, ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195608,   938, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195609,   413, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195610,   780, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195611,  2608, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195612,  2193, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195701,  3185, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195702,  3668, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195703,  1537, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195704,  2751, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195705,  2699, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195706,  2787, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195707,  1684, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195708,   523, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195709,  1280, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195710,  2903, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195711,  3133, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195712,  3073, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195801,  1653, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195802,  4013, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195803,  2452, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195804,  1913, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195805,  2041, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195806,  4650, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195807,  1026, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195808,  1306, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195809,  1164, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195810,  3314, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195811,  2954, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195812,  2114, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195901,  4033, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195902,  5995, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195903,  1470, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195904,  2278, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195905,  3142, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195906,   978, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195907,  1866, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195908,  2948, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195909,  3983, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195910,  2517, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195911,  3382, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,195912,  8127, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196001,  3876,A, ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196002,  2915, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196003,  2632, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196004,  2134,A, ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196005,  2395, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196006,  2370, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196007,  3649, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196008,  2580, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196009,   667, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196010,  2561, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196011,  3051, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196012,  3375, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196101,  2118, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196102,  1908, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196103,  8088, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196104,  1203, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196105,  1592, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196106,  3258, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196107,   808, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196108,  1155, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196109,   758, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196110,  3655, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196111,  3214, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196112,  2187, , ,D,000234
AQW00061705,                  "AS TAFUNA AP TUTUILA", -14.3333, -170.7167,     3.0,196201,  2930, , ,D,000234
