GHCN identifier,Station_name,Latitude,Longitude,Elevation,yearmonth,Precipitation_value,Measurement_flag,Quality_control_flag,Source_flag,Source_index
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195101,  1070, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195102,  1230, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195103,   150, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195104,   530, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195105,  2250, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195106,   150, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195107,    20, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195211,   370, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195212,   420, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195301,  2520, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195302,   770, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195303,  1040, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195304,   520, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195305,   700, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195306,   860, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195307,   600, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195308,   210, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195309,   630, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195310,   870, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195311,  1780, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195312,   370, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195401,  1600, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195402,   720, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195403,   690, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195404,   840, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195405,   710, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195406,  1460, , ,R,078609
