GHCN identifier,Station_name,Latitude,Longitude,Elevation,yearmonth,Precipitation_value,Measurement_flag,Quality_control_flag,Source_flag,Source_index
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190301,  1429, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190302,  1710, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190303,  1034, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190304,   306, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190305,     0, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190306,     0, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190307,     0, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190308,     0, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190309,    35, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190310,    70, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190311,   240, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190312,   810, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190401,  1330, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190402,   400, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190403,   410, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190404,   130, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190405,     0, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190406,     0, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190407,     0, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190408,     0, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190409,     0, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190410,    80, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190411,   212, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190412,   206, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190501,   465, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190502,   913, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190503,   676, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190504,    16, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190505,     0, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190506,     0, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190507,     0, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190508,    29, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190509,    64, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190510,     0, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190511,   134, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190512,   471, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190601,  1368, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190602,   470, , ,R,078349
ARMLP087007,                        "LA QUIACA OBS.", -22.1000,  -65.6000,  3459.0,190603,   110, , ,R,078349
