GHCN identifier,Station_name,Latitude,Longitude,Elevation,yearmonth,Precipitation_value,Measurement_flag,Quality_control_flag,Source_flag,Source_index
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194106,  3850, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194211,  3440, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194401,  3020, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194802,  2770, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194804,   869, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194805,   660, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194806,   559, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194807,   564, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194808,   569, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194809,  1077, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194810,   701, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194811,   318, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194812,   792, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194901,  1150, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194902,  1520, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194903,   706, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194904,  2060, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194905,   465, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194906,   439, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194907,   790, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194908,  1294, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194909,  1034, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194910,   894, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194911,   747, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,194912,   340, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195001,  1008, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195002,   930, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195003,  1064, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195004,   869, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195005,  1087, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195006,   795, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195007,   544, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195008,   719, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195009,   904, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195010,   782, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195011,  1085, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195012,  1021, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195101,  1560, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195102,   900, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195103,   620, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195104,  1110, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195105,  1020, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195106,  1220, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195107,   480, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195108,  1560, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195109,  1160, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195110,   610, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195111,   200, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195112,   430, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195201,    50, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195202,    50, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195203,   400, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195204,  1390, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195205,   330, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195206,   700, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195207,   750, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195208,  1630, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195209,  2170, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195210,  1340, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195211,  1340, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195212,   850, , ,R,078340
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  159.0000,     6.0,195301,   130, , ,R,078340
