GHCN identifier,Station_name,Latitude,Longitude,Elevation,yearmonth,Precipitation_value,Measurement_flag,Quality_control_flag,Source_flag,Source_index
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197302,   278, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197303,  1009, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197304,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197305,   369, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197306,   447, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197307,    13, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197308,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197309,     5, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197310,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197311,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197312,  1570, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197401,  6673, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197402,  1094, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197403,   998, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197404,   494, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197405,   794, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197406,    10, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197407,   148, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197408,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197409,   490, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197410,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197411,    92, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197412,    76, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197501,   888, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197502,  1678, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197503,   180, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197504,    78, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197505,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197506,    86, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197507,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197508,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197509,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197510,   506, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197511,    72, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197512,   562, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197601,  4791, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197602,  1060, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197603,   518, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197604,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197605,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197606,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197607,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197608,    35, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197609,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197610,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197611,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197612,    68, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197701,   656, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197702,   826, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197703,  1034, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197704,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197705,   186, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197706,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197707,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197708,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197709,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197710,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197711,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197712,    56, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197801,  3290, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197802,  2115, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197803,   824, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197804,   394, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197805,  1476, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197806,    26, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197807,   570, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197808,    97, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197809,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197810,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197811,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197812,    32, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197901,    24, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197902,   670, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197903,   884, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197904,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197905,   544, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197906,     2, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197907,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197908,    14, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197909,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197910,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197911,    32, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,197912,   152, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,198001,  2046, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,198002,  3308, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,198003,   400, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,198004,   622, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,198005,   152, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,198006,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,198301,  1830, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,198302,   230, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,198303,  1520, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,198304,  1020, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,198305,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,198306,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,198307,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,198308,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,198309,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,198310,     0, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,198311,  1690, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,198312,    20, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,198401,  3960, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,198402,  2150, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,198403,  2510, , ,D,000503
ASN00003066,                            "PORT SMITH", -18.5175,  121.8072,    10.0,198404,     0, , ,D,000503
